date,est_btc_volume,est_usd_volume,n_transactions,avg_block_size,mempool_bytes,hash_rate,tx_per_block,whale_pressure,tx_anomaly,mempool_anomaly,miner_confidence,whale_activity
2025-03-31,118648.48172068,9821678609.988209,318279.0,1.4814420405405406,1607086.0,836927632.4366131,2150.5337837837837,0.0,0.0,0.0,0.0,0.0
2025-04-01,78013.51235774004,6557955353.679704,356323.0,1.5721514814814819,3313184.0,763413718.7766403,2639.4296296296297,-0.2066,0.0564,0.3467,-0.0459,0.1735
2025-04-02,112009.95716686996,9548511632.805397,399055.0,1.348659918604651,1315316.0,972645626.8857933,2320.0872093023254,0.0886,0.115,-0.3672,0.1341,0.1568
2025-04-03,143504.08764729,11835707286.54347,392043.0,1.585139506578947,1310171.5,859547298.1781431,2579.2302631578946,0.2695,0.0699,-0.3055,0.0016,0.19
2025-04-04,105283.60618314,8780468949.850952,429861.0,1.4103609666666665,1670214.0,1017884958.3688537,2388.116666666667,-0.0557,0.1339,-0.0938,0.1436,0.0956
2025-04-05,46352.17869173996,3868108851.8407145,293474.0,1.1343801219512197,3488088.0,948981343.907835,1789.4756097560976,-0.5394,-0.1956,0.6474,0.0545,0.4094
2025-04-06,53332.86334240999,4346039061.740272,279475.0,1.313209200000001,439177.0,875826848.0097468,1927.4137931034484,-0.4319,-0.2075,-0.7661,-0.023,0.3905
2025-04-07,158863.89966685997,12325031990.720432,309387.0,1.4500031862068958,997706.5,875826848.0097468,2133.7034482758622,0.5575,-0.109,-0.4356,-0.0202,0.3448
2025-04-08,100588.80438255999,7889160738.948145,363972.0,1.2999018235294117,245264.5,924148329.2792498,2378.901960784314,-0.0123,0.0426,-0.8466,0.03,0.19
2025-04-09,135481.63881491008,10619510422.057436,317312.0,1.3897951374045805,2788970.5,791264255.7881161,2422.2290076335876,0.2878,-0.0827,0.6238,-0.1076,0.2754
2025-04-10,102488.82163317993,8272452338.091592,322464.0,1.3503154861111113,183192.5,869786662.851059,2239.3333333333335,-0.0236,-0.062,-0.8839,-0.0173,0.2066
2025-04-11,127119.53323151996,10441636973.743479,405030.0,1.4232085135135133,1713171.5,893947403.4858105,2736.689189189189,0.1902,0.1609,0.0779,0.0091,0.1408
2025-04-12,38106.676940640005,3199768362.3695993,409511.0,1.4251067361111105,1311766.0,869786662.851059,2843.8263888888887,-0.6246,0.1583,-0.1634,-0.0168,0.3317
2025-04-13,33995.10576231998,2872917277.051721,455139.0,1.3317095174418605,1207144.5,1038911847.2943201,2646.156976744186,-0.6484,0.2614,-0.2172,0.16,0.3972
2025-04-14,86608.47028514999,7327920945.142364,441688.0,1.4915851073825501,1215366.0,899987588.6444983,2964.3489932885905,-0.0826,0.195,-0.1974,-0.0002,0.131
2025-04-15,75298.55063174,6411287873.065953,442899.0,1.509216645833333,7824854.0,869786662.851059,3075.6875,-0.2008,0.1785,3.2608,-0.0418,0.7902
2025-04-16,107631.91921450994,9044954451.20895,507129.0,1.621543689189189,1314306.5,893947403.4858105,3426.5472972972975,0.1462,0.3223,-0.2843,-0.0091,0.2129
2025-04-17,92492.66265581003,7817372046.315234,557181.0,1.6875147777777777,2855852.5,924148329.2792498,3641.705882352941,0.0247,0.4094,0.467,0.0192,0.228
2025-04-18,45800.01598304999,3870953753.6277747,508733.0,1.6653093676470596,7104244.5,821465181.5815556,3740.6838235294117,-0.4675,0.2688,2.0426,-0.0798,0.6841
2025-04-19,29529.806979609988,2510500478.902752,545076.0,1.6493560287769784,18412021.0,847396221.1293446,3921.410071942446,-0.6518,0.3011,4.4138,-0.043,1.2381
2025-04-20,26391.050374669976,2232630980.687477,468737.0,1.6637433658536578,12756951.5,753499802.4397362,3810.869918699187,-0.6816,0.0839,1.9801,-0.1405,0.7079
2025-04-21,91165.52638834999,7961048503.294534,444986.0,1.6515207380952381,11942687.0,771877846.401681,3531.6349206349205,0.168,0.0065,1.359,-0.1121,0.3522
2025-04-22,138441.57702595004,12491830345.924187,518267.0,1.7016848,6139516.5,949532271.367147,3343.658064516129,0.7144,0.1437,0.1196,0.09,0.3618
2025-04-23,173420.71752954007,16200026210.79612,418203.0,1.5722158771929824,21673238.5,698365670.5539016,3668.4473684210525,1.0778,-0.0916,2.1721,-0.1921,0.9122
2025-04-24,151125.65750576003,14035201954.66458,464739.0,1.6355802695035464,9212075.5,863768066.2114046,3296.021276595745,0.7383,-0.0123,0.232,-0.0003,0.3454
2025-04-25,183767.1791326,17332578422.84961,392451.0,1.7315263819444444,17777117.0,882146110.1733494,2725.3541666666665,1.0198,-0.1643,1.0612,0.022,0.6717
2025-04-26,48216.16766000005,4555887933.739448,321357.0,1.8938662781954885,4093620.5,814759948.9795519,2416.218045112782,-0.4742,-0.3064,-0.5361,-0.0518,0.394
2025-04-27,41289.21837519001,3888393605.9005857,441827.0,1.603343444444444,11584931.0,827011978.2875152,3272.7925925925924,-0.5523,-0.0444,0.2112,-0.0203,0.2785
2025-04-28,122046.10573630998,11534611913.428812,409765.0,1.6737808226950353,8003082.5,863768066.2114046,2906.1347517730496,0.288,-0.1094,-0.2036,0.0264,0.1914
2025-04-29,133474.34418701,12682042160.758211,467725.0,1.6012471027397268,18455199.5,894398139.4813126,3203.595890410959,0.3494,0.0127,0.7074,0.0606,0.2911
2025-04-30,89057.05934212,8415953464.653325,350729.0,1.581549507575757,20782298.5,808633934.3255703,2657.037878787879,-0.0874,-0.2218,0.7035,-0.0341,0.2456
